file	beg	end	text
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.0	0.6	A
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.6	1.06	youthful
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.06	1.4	beauty
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.4	1.98	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.98	2.08	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.08	2.48	ruffled
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.48	3.04	blouse,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.3	3.56	writes
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.56	3.92	Sarah
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.92	4.48	McPhee.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.02	5.74	Costanza
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.74	6.02	was
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.02	6.28	about
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.28	6.76	24
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.76	7.3	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.3	7.7	Rome
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.7	8.36	with
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.36	8.52	her
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.52	8.94	talented
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.94	9.42	husband
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.42	10.12	Matteo
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.12	10.4	from
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.4	10.82	Lucca
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.82	11.54	so
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.54	11.76	he
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.76	11.96	could
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.96	12.26	work
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.26	12.5	with
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.5	12.7	Gian
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.7	13.34	Lorenzo
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.34	13.94	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.94	14.18	St.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.32	14.72	Peter's
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.72	14.96	on
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.96	15.58	Matilda's
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	15.58	15.96	tomb.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.22	17.58	A
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.58	18.02	fierce
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.02	18.32	and
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.32	18.92	sensual
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.92	19.26	woman
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.26	19.48	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.48	19.6	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.6	19.96	grip
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.96	20.2	of
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	20.2	20.74	passion,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	21.38	22.06	Wittkauer's
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.06	22.4	idea
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.4	22.66	of
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.66	22.84	what
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.84	22.96	it
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.96	23.2	meant
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.2	23.58	seems
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.58	23.9	more
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.9	24.08	than
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.08	24.26	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.26	24.44	little
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.44	25.06	overly
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	25.06	25.92	presumptuous
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	25.92	26.56	looking
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.56	26.9	now
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.9	27.1	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	27.1	27.22	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	27.22	27.84	photograph,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	28.52	28.88	striking
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	28.88	29.5	instead
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	29.5	30.24	as
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	30.24	30.46	if
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	30.46	31.42	astonishment
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	32.2	32.92	unselfconsciously
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	32.92	33.48	glancing
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	33.48	33.92	at,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	34.1	34.88	redoubling
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	34.88	35.36	itself
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	35.36	35.8	is
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	35.8	36.02	what
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	36.02	36.26	one
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	36.26	36.78	sees
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	36.78	37.26	or
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	37.26	37.52	else
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	37.52	38.06	Bernini
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.06	38.3	had
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.3	38.54	just
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.54	38.8	said,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.96	39.28	look
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.28	39.52	over
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.52	39.82	there
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.82	40.02	or
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.02	40.34	quick,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.46	40.58	look
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.58	40.72	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.72	40.96	me
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.96	41.16	and
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	41.16	41.52	hold
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	41.52	41.76	it.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	42.82	43.48	Un
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	43.48	43.82	poco
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	43.82	44.6	busto,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	45.46	45.84	clothed
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	45.84	45.94	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	45.94	46.06	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	46.06	46.7	chemise
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	46.7	47.3	with
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.3	47.62	ribbon
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.62	47.94	open
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.94	48.16	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	48.16	48.28	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	48.28	48.64	front,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	49.0	49.36	her
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	49.36	49.74	large
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	49.74	50.1	eyes
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	50.1	50.6	focused
