file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp	snr	unintelligible
andrews	20.1	16.7	16.1	26.7	14.3	14.0	13.2	14.4	1	33.63	122
antin	7.5	4.6	5.6	9.7	5.4	5.9	4.8	4.0	8	6.94	37
ashbery1	2.5	2.7	2.1	4.6	2.1	2.5	1.6	1.5	1	20.8	3
ashbery2	2.1	3.0	2.3	4.9	1.3	1.6	1.3	1.4	1	20.02	8
ashbery3	1.7	2.0	1.9	3.9	1.4	1.2	0.9	1.6	2	7.43	11
ashbery4	6.8	5.9	6.2	9.3	4.7	7.2	5.4	5.4	2	21.63	42
ashbery5	3.9	4.6	3.5	6.7	2.6	2.1	2.2	2.7	1	14.83	8
ashbery6	1.3	1.5	1.7	3.1	0.8	1.3	0.8	1.3	1	19.02	1
ashbery7	2.9	3.9	3.2	9.4	2.1	3.1	2.3	2.5	1	-0.31	17
ashbery8	3.4	3.6	2.9	6.9	3.1	3.3	2.8	2.4	1	12.39	5
auster	2.0	1.9	3.6	2.8	1.2	2.7	1.7	2.2	1	18.53	2
beaulieu	5.5	2.0	5.7	4.3	6.1	5.9	2.9	3.4	1	20.06	11
bellamy	2.5	2.7	4.4	3.8	1.8	2.3	1.3	2.6	1	22.67	5
benson1	3.4	3.1	3.8	6.0	2.4	3.4	2.8	2.8	3	19.87	31
benson2	7.9	4.8	4.5	7.8	7.3	4.7	7.3	11.0	9	5.2	55
berkson1	3.8	4.1	4.0	5.0	2.5	4.5	3.9	4.2	2	14.29	23
berkson2	3.0	3.0	3.6	5.2	1.9	3.3	2.2	2.2	1	18.18	9
berrigan	3.2	4.4	3.9	7.3	3.0	2.3	2.4	2.6	5	17.46	30
berssenbrugge1	1.0	3.0	1.9	5.1	1.4	1.9	1.2	1.5	1	10.36	3
berssenbrugge2	0.9	2.8	2.6	8.0	2.0	2.5	1.6	1.8	1	16.03	2
bervin	8.7	8.4	8.3	13.7	7.4	6.5	6.1	7.2	3	-3.93	33
bloch	2.5	2.6	2.2	3.2	2.0	2.3	1.9	2.4	1	14.7	10
bonvicino	9.2	8.1	9.1	14.0	8.9	9.1	8.2	7.8	3	14.58	19
bromige1	3.3	7.0	7.6	11.6	6.1	6.6	5.4	5.3	1	19.3	5
