file	beg	end	text	speaker	section
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.091	3.695	as the wallet trembled and bills slid in and out of it	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	4.102	7.664	{lipsmack} I want that information very much today	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	8.38	9.454	Can't have it	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	9.939	11.729	and this makes me angry	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	12.558	17.467	{lipsmack} I shall use my anger to build a bridge like that of Avignon	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	17.877	21.998	on which people may dance for the feeling of dancing on a bridge	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	22.702	26.689	I shall see # I shall at last see my complete face	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	27.338	29.365	reflected not in the water	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	29.992	33.178	but in the warm stone floor of my bridge	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	33.997	35.824	I shall keep to myself,	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	36.359	39.453	I shall not repeat others' comments about me.	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	42.424	43.115	Thank you.	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	48.85	49.53	Portrait.	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	51.145	53.293	um These are by another guy named John	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	57.573	63.095	He was always at the first in the class, Ashbery, and I was always the last. Yeah.	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	65.441	66.205	Portrait	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	67.251	69.952	or is it a poor trait (({NSV}))	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	70.868	72.342	I am a parasite	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	73.085	76.398	I ((lived)) off the wings of others	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	78.835	83.429	Written in the shadows cast by the burning of the House of Lords and Commons	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	83.944	85.54	eighteen thirty five	Subject	
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	85.957	88.038	by ~J ~M ~W Turner	Subject	
