file	beg	end	text	speaker	section
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.188	50.372	Stinking of sewers and of myself. Stinking a bit of the lighter's flame. Stinking like that rotten apple Stinking of stupid songs sung nowadays, and of myself. Collected garbage gives off a distinct smell on the street. Sinking, stinking of shoes and of myself, of mice, of neon sweat, of chairs and of myself. Of useless news and of myself. Stinking under the moon, my nose stuffy from carbonic gas. The nose of the bus engine stinking of the same shirts. Stinking of myopia and of myself. Stinking of street corners giving off smells. Stinking of hopes which suddenly end	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	50.991	52.744	in the next strophe	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	56.438	58.021	The= the next one	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	58.616	59.666	Line to line.	Unknown2	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	59.813	67.212	Line to # no, no but= but I um # my= my= my # I um was a student o- of ((David Bush,)) okay? My English is perfect.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	61.834	62.283	Yeah.	Unknown2	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	70.044	72.246	He gets better ((at Spanish))	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	71.076	73.958	He was a good teacher but I was a bad student	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	73.818	80.496	See we= we # well you could see the bond we have, he also likes to tell the same ((book)) over and over again. {laugh}	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	77.602	80.09	((Just pour over the=)) the= Russian= {laugh} poet=	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	81.121	84.61	the Russian poet+ ((Kardida Romoshinko)) was in Brazil	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	85.222	92.87	and ask me forty definitions or fifty definitions or ten definitions of Brazil	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	93.272	94.133	to publish	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	94.626	97.247	in a Russian jou- # magazine, so	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	97.946	102.479	it was in- intriguing+ for me because I never thought to= to define Brazil	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	103.103	104.559	and uh	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	104.954	109.655	I wrote in uh very broken English, and Charles and I #	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	110.264	113.169	and Charles finish up and= and add a lot of	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	113.684	116.488	himself in ((the)) poem. So is a poem	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	118.302	119.491	It's a collaboration,	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	118.575	122.684	written by # it's a collaboration. It's= it's= a= it's a poem written	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	121.101	122.496	called Definitions	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	123.14	127.867	four hands. Because it= be- it begins+ with the Russian	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	128.428	135.288	uh ((dehomie)) ten definitions of Brazil, twenty definitions of Brazil, and I haven't thought about so	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	135.918	137.611	I try it. So	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	136.943	137.55	So this	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	138.14	146.502	so this is called Definitions of Brazil, but I've imposed upon you. I told you I would do this Re- read the English anyway. I think it'll be more interesting. You= you ((do this.))	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	138.378	139.519	Go on, go on.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	144.228	147.518	Oh but that's # oh, no, no, no, no. It's impossible	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	147.712	148.622	tr- Try.	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	148.275	149.98	I'm tired. {laugh} It's no good.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	149.847	153.033	Try. We we uh we we we need to hear the English, you know?	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	150.29	150.787	((Yeah?))	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	151.321	153.997	No, no. I= I will read. No, no, no, no.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	155.196	156.579	Some lines, okay?	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	156.513	158.066	How will I {laugh} know to read them?	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	158.473	159.747	((uh)) Some lines.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	159.431	160.876	You want to just start them?	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	160.251	165.81	No, uh= uh my reputation will fall # fell # will fall down {laugh} soon. {laugh}	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	161.745	162.345	I thought #	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	165.076	168.453	How about trying every other line and if you want to stop, I'll take over?	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	168.244	172.91	Brazil is located on the Southern tears of the Americas. Brazil #	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	172.061	175.963	Brazil is a jungle with snakes who eat cakes	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	176.094	186.214	Brazil speaks Lebanese, Portuguese, Japanese, Philadelphianese, Guarnaríse, Tupiese, Inglese	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	186.165	192.033	Brazil is an adulterating medley of intoxicated syncopations	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	192.521	197.132	Brazil has no relationship with itself because it has a	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	197.448	199.675	relation only to itself	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	200.433	205.215	Brazil lays its cool hands on your hot head	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	205.542	211.04	Brazil was colonized by Indians who turned the Portuguese into natives	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	211.853	216.343	Brazil's Tolstoy is now doing tricks in a favela	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	216.803	219.855	Brazil is a land of palms and psalms	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	220.219	221.985	Brazil is the model	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	222.485	223.395	of a model	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	223.686	225.197	Brazil is a charm	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	225.945	226.776	bracelet	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	227.171	239.757	that has become the necklace of the continent. Sao Paulo more European than Saint Paul, Brasilia more bureaucratic than Geneva, Rio more alluring+ alluring?	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	240.109	242.303	Than Boca, so #	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	243.404	245.708	They've got an awful lot of coffee	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	246.303	247.14	in Brazil	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	248.353	251.496	In Brazil the cuckoo sings # go, go	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	251.15	253.094	Macaw+, macaw+, macaw+.	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	253.028	258.015	Brazil is private property of no man’s god and no woman’s fury+	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	258.843	262.171	The patron saint of Brazil is its dreams	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	262.541	264.847	just as it's its devil	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	264.793	268.975	Brazil is a carioca not a polka # polka, polka.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	268.866	269.91	Carioca.	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	270.031	271.73	Carioca, polka.	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	270.377	272.337	((Polka,)) not ((called)) a polka.	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	272.901	284.579	Brazil is Carmen Miranda's tutti frutti hats, Caetano Veloso’s all weather tropicalismo, Bebel Gilberto’s number on the charts	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	285.079	286.068	Brazil is	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	286.715	293.608	the Elis and Tom Waters of March International Airport and ((the)) Spa {breath}	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	295.051	298.388	Brazil is caipirinha with feijoada,	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	299.078	301.632	caipira with fedora	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	301.762	303.431	Brazil is home of #	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	304.29	305.364	I don't know ((that one.))	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	305.097	307.385	the cassava or tapioca,	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	306.092	306.511	Or	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	308.089	309.448	what you call yucca	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	308.204	308.629	((oh))	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	309.822	313.347	or mandioca or aipim or moogo	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	313.723	321.548	or macaxeira or singkong or tugi or balinghoy or manioc	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	321.758	322.875	Brazil is the b- #	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	322.438	326.066	You can probably say most of those better than me. Why don't you redo that one?	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	323.5	323.985	((Sure))	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	324.731	329.047	((Sure, yes.)) No, you're= you're # you are great in Portuguese. {laugh}	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	328.204	331.353	Portuguese is uh ((my= my first language.))	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	329.314	337.613	((uh)) Brazil= Brazil is the black mask of the ~P ~C ~C inscribed with the words traitor, betrayer	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	338.497	344.747	{lipsmack} Brazil is a hundred and eighty six million stories, a hundred and eighty six thousand poems,	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	345.316	347.234	but only these definitions	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	347.735	354.04	{laugh} Put your stocks in Brazil and your bonds in China, or is it the other way around?	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	355.126	359.392	Brazil is a figment of the imagination of the Amazon	Subject	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	359.88	372.84	If Pele is a laureate poet of Brazil without ever writing a word then Ronaldo Gaucho is the Nijinsky, with- without ever having set foot in the Ballet+	Unknown1	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	373.277	373.981	Russe	Unknown1	
