file	beg	end	text	speaker	section
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.14	7.67	You will absolutely not. It is perhaps and of course because of the poor bird, then give yourself. He will absolutely not kick	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	8.223	9.097	playing the body	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	9.439	14.391	Perhaps even to smell of the playing. Only he is permitted when necessary	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.062	24.721	The tiniest of thoughts and even if he was played by an actor, he should be played by an actor who's never acted before, who's always been more of an introverted type of guy than somebody who loves the limelight	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.161	30.996	He could be played by Steve McLaughlan a six foot two young man with beautiful pink and white skin and long, thin muscles	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.36	37.897	((He would)) try to make a Live Journal in the voice of his character, Christmas' sister Easter, because of her interest in poetry in the play	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	38.327	49.449	He tries to start the poems by looking through some of the work by the poets who are popular with girls at that age, seventeen, and chooses a line to start with from one of the poets. Then the poems pretty much write themselves	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	49.983	59.905	Steve chooses to use Live Journal dot com for Easter's poems, because it would've probably been the most popular site for something like it in two thousand three when he was still in junior high school	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	60.271	70.852	He starts to enjoy it quite a bit after the first few goes. There's something about playing the role of a physically adult adolescent girl, which allows for a long forgotten enjoyment in the composition of emotional amateur poetry	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	71.659	81.643	Steve has written scores of these poems by now, sometimes losing track of the division between a parody of precocious sentiment and its reality. He choses the name Etiolated for her Live Journal	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	86.101	88.455	Using Australia As An Example	Subject	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	88.936	94.217	A diagram of Australia as graphic maelstrom with illustrated gestures	Subject	
