file	beg	end	text	speaker	section
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	0.189	3.592	balancing unsteadily on something impalpable	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	5.017	16.338	All things their else and verge their costs and lines of provenance be stark in the world in which all that heartbreaking brightness will	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	17.005	17.823	crack	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	18.357	43.684	Day by day I resist mourning, yet it catches, wrenches, twists, and trips me, trips me I fall into it. No place remaining. Denn= denn bleiben ist nirgends, and stand nowhere though temporarily here. ((Ride)) and riven through, tight astride, the no of yes inside a stranger starter. Yes of no	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	45.687	46.547	Remarks	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	48.179	66.136	That gul- # gust of pulsing wide and fast plunging crosswise push and change that made this mark this # ((just)) this s- # other slash mark # like any brightness blown, any wing or leaf. I want to say it was Parnassius mnemosyne, clouded Apollo for its fancier name which wasn't true	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	66.576	76.522	It was just a swallowtail in which the word memory did not appear nor the touch of poetry. Just ordinary. Not endangered. No more than anything	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	78.239	102.648	Blustered with cross drafts, it holds tight. Creamy yellow, black lines, and marks like letters on a page shimmered in the wind and light and ribbon wings with bright thought dots, blue jot, red spot, rainbow quipu+ eyes. I kept losing my place in the book. It hinged opened and closed as if the letters touching read the word, the word, the text	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	103.199	108.181	gripping down, it snorkels sweetness precariously in transit	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	109.503	122.019	But losing the book with a Keats sonnet, a painful sign when we were in rough cut and I had to teach such statements of looming as, bright star, would I work when we hadn't begun to process loss	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	122.423	123.562	It blew me away	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	124.541	130.659	Writing is impossible. Reading is sadness, a word or sentence into void	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	131.19	134.349	It all could be summarized as aftermath	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	135.132	138.346	This well known dream genre is well attested	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	138.863	140.896	yet little consolation	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	142.856	170.857	the recklessness of life inside itself. The double turn of throws, of throes of faith, ((the)) cross hatches of bluster, the two steep roads, the energy in wind and wing all were ink cut so fast when I hadn't time to register this time except as ripped. What is, is. What's torn is all. We're coming here with pieces of people we lost, their shadows tangled in the long vigil of the page	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	171.312	184.077	There was no readiness for the call. This it emerged, almost unseen lurking. Films of gray with screams of un trackable isms shadowed under persons, apples, wall	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	184.568	197.702	under fold, under the scratched ink of palimpsest+ and under those tricky transcode systems, setting numbers to letters then words to those sums. That pyramid of ~A becomes zero.	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	198.037	203.068	Now read the newborn letter. Is it from a stranger? A stranger universe	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	204.773	212.451	It will be palpable, yet balancing, who knew how, on something impalpable. This really is a documentary	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	212.725	225.787	All things, their else and verge, their costs and lots and lines of provenance the ~Ns and ~Ys and ~X ing place, and ~Rs stark in the world in which all that heartbreaking brightness will	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	226.423	227.918	break again	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	228.845	259.727	Day by day I say I resist mourning, this mass of mixed hungers and desperate outcomes, and yet ((it)) catches, wrenches, twists and trips me, trips me. I fall into no place remaining Denn Bleiben ist nirgends, what? Simply to be is not in being rooted but be blown away, be riding, riven further out than loss. Tight astride, the no of yes, the no of yes that shadows thought inside a stranger, starker yes of no	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	260.092	267.494	The yes of no that calls outright to ~A no matter whether ~A is there or not	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	271.463	278.337	The um quotation, We're coming here with pieces of people we lost was stated actually by= um	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	279.057	291.524	by a woman named Norma Gabriel Taylor at= the= um at the inauguration of Barack Obama. It was cited by Matt= Matt Saldana -dana, in an article in the Indy. So very German.	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	291.89	292.819	Very, very German	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	294.315	296.455	and I'm happy to have it, actually	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	298.406	299.12	Okay	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	301.334	302.426	I'd like to read #	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	302.971	304.506	there's going to be a little ((tact)) here #	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	311.63	313.672	I'd like to read um a	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	314.143	322.331	a kind of # a very ecstatic poem. Like you know there's ((wor- # right)) and= it= it kind of um goes along	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	323.606	331.755	It looks # it's very big on the page which # so it's kind of a little risky behavior. And it's a l- # on a line of two, which is Redness.	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	332.452	334.473	uh The ((line of)) two is always Redness	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	334.82	338.107	uh There's # there= there a ((couple of)) different	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	339.006	354.855	second poems in this. One is that it has these kinds of things, every once in a while. Another is that it has some words in parentheses next to other words. And a third is it actually has rubrics, which is the title of the poem big things in capital letters. It spelled a secret message, but not a very subtle one	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	355.411	366.587	um {laugh} actually. But um it= it is just another line of things, and it's it should # I think I'm going to try to read it very fast because it's a very fast poem. {cough}	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	367.594	370.567	Okay. Draft ninety seven, Rubrics	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	371.62	376.83	If the red streak of honey in the mouth, if that rush fathoming up in fullness, if	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	377.23	388.38	the welling of sound englobed honey hold thickens, resistant to flow yet flowing despite we are in time, whose henna dark touch smears with plenitude and echo	Subject	
DuPlessis-Rachel-Blau_Complete-Recording_Arcade-Taberna-Reading-Series_Durham-NC_4-24-09	388.94	394.11	if ((they are)) speaking song, multiple exposure to the bright degre- # debris enters it	Subject	
