file	beg	end	text	speaker	section
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	0.174	11.361	((I'm a window.)) He's lost his right arm inside the stone. ((in)) the black mirror a woman's trying to erase names. No, she's brushing a boy's hair	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	14.941	19.723	I should say that um it took me fourteen years to write about the Vietnam experience	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	20.188	21.801	and at the time	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	22.271	24.662	I was renovating a house in New Orleans	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	25.156	26.021	and	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	26.735	27.963	that pretty much	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	28.588	30.455	((prompted)) the moment to write about	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	31.022	31.982	Vietnam.	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	32.925	37.605	um I had very systematically written around that experience	Subject	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	41.177	48.902	Well, here's a poem about that's a bit more personal. It's about something I've actually had quite a bit of trouble writing about, which is the death of my father who passed away when I was fourteen	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	49.34	49.849	and	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	50.474	68.775	as anyone knows who has lost a parent and certainly lost a parent at a bit of a younger age, there is this # i- in a way, of course it's= it's an incredible tragedy, but there's # there are other things that come with it and I guess as I grew older I felt a strange sense of almost specialness for having sort of survived this thing i- in= in my teenage years and	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	69.375	71.8	I often ha- have reflected on it as I've grown older that	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	72.17	79.512	one feels the sadness and the guilt, but another side of the coin is the sense of having been singled out and having been made special by having to go through this experience	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	79.932	80.37	and	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	80.768	86.072	I tried to capture that. I don't know if I have, but this poem is called She Thinks of Him on Her Birthday.	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	87.574	91.462	It's still winter and still I don't know you anymore	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	91.825	93.286	and you don't know me	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	94.129	96.557	But this morning I stand in the kitchen with the illusion	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	97.036	98.323	peeling a clementine	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	98.98	101.61	Each piece snaps like the nickname for a girl,	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	101.981	104.539	the tinny bite it was to be one once	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	105.398	108.593	Again, I count your daughters and find myself in the middle,	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	108.956	114.44	the waist of the hourglass endlessly passed through and passed through but holding nothing	Subject2	
Garrison-Deborah-and-Komunyakaa-Yusef_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-22-99	115.058	117.95	dismayed by the grubby February sun I was born under	Subject2	
